Fecha,GasLicuado,Regular,Superior,Diesel
Jan/2000,194410.48,202645.2,308156.82,634667.06
Feb/2000,174710.55,205530.96,307766.31,642380.66
Mar/2000,189234.07,229499.56,331910.29,699807.25
Apr/2000,174330.61,210680.4,315648.08,586803.98
May/2000,191745.15,208164.34,319667.97,656948.2
Jun/2000,196321.93,195088.74,300347.7,570919.88
Jul/2000,192344.5,204556.77,308305.93,576436.02
Aug/2000,203727.08,218388.51,323011.86,593770.77
Sep/2000,194565.1,213906.96,326455.72,590145.4
Oct/2000,210261.83,213606.65,323843.63,641113.36
Nov/2000,205027.95,209227.48,320788.08,657086.3
Dec/2000,200247.56,230020.7,366987.56,673282.26
Jan/2001,179405.99,164547.35,300242.78,569328.79
Feb/2001,167818.14,174838.81,301483.4,597749.83
Mar/2001,186397.33,201992.65,355572.83,736085.97
Apr/2001,175820.35,198683.39,355826.76,606257.66
May/2001,178303.33,182504.09,336040.04,664082.66
Jun/2001,177826.93,201379.48,308804.7,559333.03
Jul/2001,191041.99,214980.24,350501.97,589452.73
Aug/2001,190295.99,204646.77,348414.65,568546.37
Sep/2001,184039.99,188292.35,324393.96,533108.39
Oct/2001,206176.99,225240.95,366261.63,603371.18
Nov/2001,201335.99,210324.95,351890.63,626156.18
Dec/2001,209792.99,223209.95,403561.63,664190.18
Jan/2002,196068.61,200309.85,368935.53,726672.6
Feb/2002,180209.8,183119.34,348917.79,694344.78
Mar/2002,186680.97,212711.71,385044.97,656379.29
Apr/2002,196167.16,204765.62,379741.98,683646.17
May/2002,201612.36,201083.51,375054.64,707165.47
Jun/2002,193024.4,187629.42,371138.59,667820.71
Jul/2002,204196.24,201692.64,399944.65,656761.6
Aug/2002,213625.43,205240.77,392355.62,657099.74
Sep/2002,209849.76,177614.8,347191.44,653664.6
Oct/2002,212932.33,203097.24,381595.2,653053.27
Nov/2002,210000.55,207629.81,384334.22,671401.33
Dec/2002,223830.4,199619.27,400645.42,676192.45
Jan/2003,213268.98,193713.62,376516.58,769843.3
Feb/2003,206815.01,184354.61,355760.81,709783.58
Mar/2003,216427.95,201443.37,361880.87,786484.49
Apr/2003,204403.51,219004.31,377395.17,709626.39
May/2003,216452.75,200407.18,390624.27,755982.05
Jun/2003,212069.04,168327.72,346941.84,641540.08
Jul/2003,231172.01,174317.57,377178.84,631704.12
Aug/2003,222312.71,171665.05,355682.72,613428.55
Sep/2003,225703.05,174757.95,348659.02,582989.47
Oct/2003,239665.04,209314.45,392041.78,722763.6
Nov/2003,229612.35,168510.0,330640.23,639828.39
Dec/2003,247544.64,196081.99,391327.66,652872.45
Jan/2004,235284.97,203975.57,381547.72,656987.4
Feb/2004,213288.68,180290.24,339576.46,659540.43
Mar/2004,233426.35,206455.62,379687.46,746236.84
Apr/2004,217530.88,182379.92,357595.81,633766.06
May/2004,225959.05,160741.9,322596.73,556369.7
Jun/2004,225673.46,164782.5,318811.5,560393.48
Jul/2004,243064.07,182642.41,346413.66,583098.55
Aug/2004,236324.77,207432.8,390304.28,699610.8
Sep/2004,225204.18,194240.55,364689.84,612639.57
Oct/2004,229626.06,200323.53,380441.55,619084.79
Nov/2004,225593.82,214509.65,378498.6,705298.16
Dec/2004,241915.01,236733.03,429109.1,761864.3
Jan/2005,227154.97,209901.6,321382.14,724692.36
Feb/2005,211814.38,198775.61,375768.83,717116.77
Mar/2005,224387.03,231358.58,410241.93,802139.58
Apr/2005,218555.21,225644.89,389737.16,803996.93
May/2005,230568.15,187048.26,343762.52,715360.44
Jun/2005,223151.26,202161.79,351906.82,681743.36
Jul/2005,236140.08,213821.77,389172.65,678614.47
Aug/2005,242734.74,212696.38,396871.12,693681.13
Sep/2005,223283.87,196776.87,378887.62,666258.37
Oct/2005,213139.58,192270.24,328052.56,589830.24
Nov/2005,222988.53,185251.12,360869.14,701255.47
Dec/2005,225410.43,241035.13,448688.52,775027.2
Jan/2006,217867.31,211152.72,382078.88,750946.36
Feb/2006,212328.61,200551.4,367944.25,734530.76
Mar/2006,232405.36,233082.86,427567.58,875047.29
Apr/2006,207612.27,223479.45,392050.29,711185.23
May/2006,232489.83,222710.9,379832.55,734289.15
Jun/2006,236563.83,196511.22,364359.35,672428.87
Jul/2006,239767.85,210255.7,392252.91,684438.7
Aug/2006,245672.02,211202.14,394585.28,707219.69
Sep/2006,256040.1,204369.99,382724.97,650791.38
Oct/2006,238514.63,203061.39,400793.81,683543.13
Nov/2006,228417.44,205541.91,401922.57,739181.99
Dec/2006,236333.11,233936.83,454373.13,776330.26
Jan/2007,217344.66,216560.79,418412.86,810372.66
Feb/2007,211149.36,204991.91,401425.14,799394.6
Mar/2007,264115.98,239019.91,454731.09,956680.19
Apr/2007,224818.88,217536.23,403732.56,758988.58
May/2007,259749.48,224400.73,426414.71,811703.69
Jun/2007,244505.28,217473.91,390991.36,720896.77
Jul/2007,261555.62,219874.23,416497.41,721550.61
Aug/2007,267634.12,236565.57,411088.53,736620.9
Sep/2007,254081.76,207241.84,390568.99,669587.88
Oct/2007,264936.66,224750.77,419001.81,738702.86
Nov/2007,250108.61,218116.79,417490.77,779547.05
Dec/2007,253659.53,252394.11,438542.79,768886.87
Jan/2008,252508.33,213645.39,403266.74,797668.91
Feb/2008,241978.08,215873.67,407735.55,794000.25
Mar/2008,247679.04,233761.07,424157.28,776026.79
Apr/2008,243178.03,233687.28,399193.53,807725.77
May/2008,240798.46,236635.85,390882.63,682326.18
Jun/2008,242422.57,200656.57,337464.32,507662.65
Jul/2008,243531.97,228640.21,374847.05,544399.26
Aug/2008,237062.52,227499.0,378363.76,556174.4
Sep/2008,225262.46,218214.64,367962.73,557802.62
Oct/2008,263100.5,238955.44,386430.4,617863.13
Nov/2008,230092.62,238626.16,375438.69,688104.11
Dec/2008,245852.65,298245.47,463343.73,778953.84
Jan/2009,217372.42,273494.16,424264.5,800526.47
Feb/2009,212038.24,254667.7,424438.71,795050.51
Mar/2009,235475.32,290343.28,434248.69,865981.57
Apr/2009,209739.17,290887.08,454265.4,822109.74
May/2009,221884.47,276970.67,432401.49,770687.28
Jun/2009,221329.63,252551.99,393140.38,703815.55
Jul/2009,241510.2,283142.05,435256.09,740868.09
Aug/2009,232174.11,267830.84,409182.96,692376.7
Sep/2009,225886.43,248994.42,420238.71,687435.1
Oct/2009,235899.13,269008.52,421753.29,775739.56
Nov/2009,232172.83,212149.91,391754.81,738678.65
Dec/2009,215923.38,296805.29,449842.29,891670.41
Jan/2010,228078.62,243341.49,389068.41,777741.34
Feb/2010,214409.69,248207.93,391195.69,807692.1
Mar/2010,242081.59,320985.41,465664.59,1017058.18
Apr/2010,216150.67,254872.61,387063.18,762770.01
May/2010,215523.54,238903.31,381811.18,721668.18
Jun/2010,226415.07,251896.39,385981.1,683236.54
Jul/2010,243063.35,278700.49,422481.8,721584.6
Aug/2010,245908.42,268917.79,410176.39,695796.33
Sep/2010,233404.9,266975.25,396429.75,687553.88
Oct/2010,236852.35,275031.21,418305.07,745415.51
Nov/2010,255841.85,273452.94,409652.73,785917.4
Dec/2010,251825.2,320807.17,466766.78,843762.0
Jan/2011,244328.91,285089.04,411737.33,850696.79
Feb/2011,228479.0,269301.38,391131.1,819940.5
Mar/2011,255792.92,281453.75,393160.91,900485.91
Apr/2011,237582.68,285598.37,386749.27,797527.23
May/2011,247975.28,253277.88,371876.75,803849.53
Jun/2011,247082.28,290137.49,380800.43,729676.79
Jul/2011,259033.89,279283.36,389294.64,718255.06
Aug/2011,259688.74,256380.27,408494.51,699736.08
Sep/2011,251882.54,256728.25,380453.23,660384.93
Oct/2011,262255.14,242071.01,381309.5,672214.93
Nov/2011,252218.21,231413.83,381871.84,794507.24
Dec/2011,263892.43,291678.03,449904.1,862318.8
Jan/2012,242524.9,261933.68,393781.94,814956.72
Feb/2012,243810.95,253733.22,402633.55,848067.25
Mar/2012,270906.08,290286.65,429534.5,925065.27
Apr/2012,249493.66,262615.28,389264.02,792201.73
May/2012,261657.41,235374.04,405877.41,771542.47
Jun/2012,255333.43,261012.58,409111.24,712464.94
Jul/2012,271101.94,233061.35,420370.6,699130.04
Aug/2012,280184.27,259165.94,433828.02,716720.36
Sep/2012,268875.1,228205.77,378478.8,632120.37
Oct/2012,297829.17,261347.22,414523.22,728414.88
Nov/2012,303422.01,272657.82,394751.47,812523.44
Dec/2012,281757.56,310407.04,442191.43,848262.93
Jan/2013,291844.0,287985.59,408557.45,863769.41
Feb/2013,253221.89,259659.66,361215.69,808853.97
Mar/2013,286869.62,313075.45,413744.86,898352.2
Apr/2013,287216.3,330070.65,409238.3,966103.92
May/2013,301770.53,313131.36,403354.79,827601.25
Jun/2013,275921.37,287596.64,402012.07,775187.12
Jul/2013,292790.1,314185.61,425154.22,732544.52
Aug/2013,282844.32,288400.67,416968.15,773147.9
Sep/2013,278403.42,249357.42,379479.78,672125.16
Oct/2013,285195.01,314518.72,430179.69,800049.12
Nov/2013,253022.23,306638.45,404692.46,821457.45
Dec/2013,282335.47,339969.85,448135.35,860351.9
Jan/2014,288260.8,312139.77,412617.93,917251.54
