Fecha,GasLicuado,Regular,Superior,Diesel
Jan/2001,194065.74,177776.5,373963.96,566101.99
Feb/2001,170703.38,123115.99,243091.07,489525.8
Mar/2001,161837.37,161726.42,312084.38,575559.68
Apr/2001,163048.64,127338.74,285054.89,437745.42
May/2001,171518.86,168730.19,300913.67,552609.13
Jun/2001,190004.42,152899.09,333217.19,497855.26
Jul/2001,206022.83,136299.13,195071.86,302350.02
Aug/2001,100561.47,139365.07,268153.26,464159.13
Sep/2001,186839.02,233643.75,308439.07,321952.94
Oct/2001,163864.2,141550.22,305102.28,438989.55
Nov/2001,194722.5,165841.46,256638.19,440245.35
Dec/2001,194329.02,149217.67,277145.05,479983.27
Jan/2002,168422.62,178585.93,271479.0,500041.32
Feb/2002,200141.36,144447.25,365657.75,686923.83
Mar/2002,193422.6,104673.64,246292.6,432538.46
Apr/2002,218257.51,190339.0,310256.3,424667.36
May/2002,159299.42,194830.1,363311.76,497781.66
Jun/2002,210874.61,137050.8,250123.19,496826.62
Jul/2002,199708.55,222408.0,428842.8,636727.84
Aug/2002,192213.74,143795.0,298280.33,346225.0
Sep/2002,190686.73,156956.9,331053.7,638933.22
Oct/2002,210871.19,195426.8,352055.5,703749.81
Nov/2002,227595.86,153185.7,291188.76,573289.5
Dec/2002,192272.02,167596.71,440677.81,678749.64
Jan/2003,237532.26,228269.5,425185.5,797344.38
Feb/2003,169819.0,214490.7,443849.85,765912.66
Mar/2003,221030.86,161257.48,363352.66,693942.31
Apr/2003,192170.14,189824.89,335444.69,873103.1
May/2003,185016.67,269981.86,459025.69,625190.08
Jun/2003,231805.03,182254.23,372486.53,671882.83
Jul/2003,216504.93,133668.2,400922.97,822014.55
Aug/2003,209952.38,169903.86,292365.04,494087.13
Sep/2003,231499.19,177217.53,398192.16,614913.68
Oct/2003,216302.81,181668.03,260219.92,433084.99
Nov/2003,232526.98,205624.08,393951.96,627189.78
Dec/2003,214489.86,161477.73,296780.15,745524.88
Jan/2004,251271.55,173427.23,368235.14,762385.45
Feb/2004,197730.29,147939.23,281891.97,460947.5
Mar/2004,253366.12,275539.38,486880.82,772128.26
Apr/2004,206671.88,245156.34,415426.0,809194.95
May/2004,202368.21,178387.8,350052.95,634209.64
Jun/2004,231850.33,133341.0,311238.01,461381.79
