Fecha,Superior,Regular,Diesel,GasLicuado
01/2024,30.44,28.95,29.47,115.0
01/2024,30.44,28.95,29.47,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.47,28.97,29.48,115.0
01/2024,30.29,28.79,28.55,115.0
01/2024,30.29,28.79,28.55,115.0
01/2024,30.29,28.79,28.55,115.0
01/2024,30.29,28.79,28.55,115.0
01/2024,30.29,28.79,28.55,115.0
01/2024,30.29,28.79,28.55,115.0
01/2024,30.29,28.79,28.55,115.0
01/2024,30.9,29.39,29.11,115.0
01/2024,30.9,29.39,29.11,115.0
01/2024,30.9,29.39,29.11,115.0
01/2024,30.9,29.39,29.11,115.0
01/2024,30.9,29.39,29.11,115.0
01/2024,30.9,29.39,29.11,115.0
01/2024,30.9,29.39,29.11,115.0
01/2024,30.97,29.48,29.19,115.0
01/2024,30.97,29.48,29.19,115.0
01/2024,30.97,29.48,29.19,115.0
02/2024,30.97,29.48,29.19,115.0
02/2024,30.97,29.48,29.19,115.0
02/2024,30.97,29.48,29.19,115.0
02/2024,30.97,29.48,29.19,115.0
02/2024,31.46,29.96,30.44,115.0
02/2024,31.46,29.96,30.44,115.0
02/2024,31.46,29.96,30.44,115.0
02/2024,31.46,29.96,30.44,115.0
02/2024,31.46,29.96,30.44,115.0
02/2024,31.46,29.96,30.44,115.0
02/2024,31.46,29.96,30.44,115.0
02/2024,31.47,29.97,30.47,115.0
02/2024,31.47,29.97,30.47,115.0
02/2024,31.47,29.97,30.47,115.0
02/2024,31.47,29.97,30.47,115.0
02/2024,31.47,29.97,30.47,115.0
02/2024,31.47,29.97,30.47,115.0
02/2024,31.47,29.97,30.47,115.0
02/2024,31.97,30.48,30.98,115.0
02/2024,31.97,30.48,30.98,115.0
02/2024,31.97,30.48,30.98,115.0
